,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,ExistingPolicyTenure,Zone,PaymentMethod,AgentBonus_Per_Policy,SumAssured_Per_Policy
0,22.0,4.0,Agent,Salaried,Graduate,Female,3,Manager,2.0,Single,20993,2.0,North,Half Yearly,2204.5,403380
1,11.0,2.0,Third Party Partner,Salaried,Graduate,Male,4,Manager,4.0,Divorced,20130,3.0,North,Yearly,553.5,73625
2,26.0,4.0,Agent,Free Lancer,Post Graduate,Male,4,Executive,3.0,Unmarried,17090,2.0,North,Yearly,1424.3333333333333,175994
3,11.0,2.0,Third Party Partner,Salaried,Graduate,Female,3,Executive,3.0,Divorced,17909,2.0,West,Half Yearly,597.0,89545
4,6.0,4.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Divorced,18468,4.0,West,Half Yearly,738.75,91601
5,7.0,2.0,Third Party Partner,Salaried,Graduate,Male,3,Executive,2.0,Single,18068,2.0,North,Half Yearly,1626.0,243918
6,12.0,23.0,Agent,Salaried,Graduate,Male,4,VP,3.0,Divorced,34999,2.0,North,Yearly,1283.3333333333333,130896
7,6.0,4.0,Agent,Small Business,Under Graduate,Female,3,Executive,4.0,Unmarried,17279,2.0,West,Half Yearly,518.25,92269
8,8.0,11.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20916,1.0,West,Yearly,906.3333333333334,135047
9,6.0,3.0,Online,Small Business,Under Graduate,Male,2,Executive,2.0,Married,17089,1.0,West,Quarterly,1623.5,175994
10,20.0,7.0,Online,Small Business,Under Graduate,Male,4,AVP,2.0,Divorced,22767,3.0,North,Yearly,3338.0,524091
11,18.0,27.0,Agent,Salaried,Graduate,Male,2,Executive,5.0,Divorced,18564,5.0,North,Quarterly,891.0,130987
12,10.0,7.0,Third Party Partner,Small Business,Under Graduate,Female,3,Manager,4.0,Single,19425,1.0,West,Half Yearly,874.25,111888
13,22.0,22.0,Online,Small Business,Under Graduate,Female,3,Manager,3.0,Married,20265,1.0,West,Half Yearly,1216.0,127669
14,26.0,17.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,21553,1.0,West,Half Yearly,1437.0,244267
15,7.0,3.0,Agent,Large Business,Engineer,Male,3,Manager,2.0,Divorced,21261,5.0,West,Half Yearly,1701.0,273841
16,12.0,4.0,Third Party Partner,Large Business,Engineer,Male,4,Manager,5.0,Divorced,19298,2.0,West,Yearly,386.0,49017
17,9.0,11.0,Online,Salaried,Graduate,Male,3,Manager,2.0,Married,21804,1.0,North,Half Yearly,1090.0,143906
18,5.0,5.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,3.0,Married,18815,1.0,West,Half Yearly,752.6666666666666,130952
19,21.0,21.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Divorced,17741,3.0,West,Half Yearly,2129.0,423655
20,12.0,18.0,Agent,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,21673,1.0,North,Half Yearly,606.8,64932
21,5.0,25.0,Agent,Small Business,Diploma,Female,3,Senior Manager,2.0,Divorced,22639,1.0,West,Half Yearly,2490.5,413388
22,3.0,3.0,Agent,Salaried,Graduate,Male,2,Executive,4.0,Married,17328,1.0,West,Quarterly,866.5,93571
23,7.0,14.0,Third Party Partner,Small Business,Under Graduate,Female,3,Executive,2.0,Unmarried,17153,2.0,North,Half Yearly,1715.5,175994
24,30.0,25.0,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,19876,4.0,North,Yearly,2484.5,477024
25,20.0,8.0,Agent,Small Business,Under Graduate,Male,3,Senior Manager,5.0,Married,24396,5.0,North,Half Yearly,780.6,128030
26,14.0,21.0,Agent,Small Business,Under Graduate,Male,5,Senior Manager,2.0,Divorced,25400,4.0,West,Yearly,1778.0,270256
27,8.0,15.0,Online,Salaried,Graduate,Male,4,Senior Manager,3.0,Single,23474,6.0,West,Yearly,1252.0,128950
28,12.0,3.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,3.0,Single,24981,1.0,West,Half Yearly,999.3333333333334,199848
29,26.0,31.0,Agent,Salaried,Graduate,Male,4,Senior Manager,4.0,Divorced,27490,2.0,West,Yearly,1305.75,212841
30,9.0,9.0,Agent,Large Business,Engineer,Female,3,Executive,5.0,Unmarried,17657,4.0,West,Half Yearly,882.8,112122
31,7.0,26.0,Agent,Salaried,Graduate,Female,3,Senior Manager,2.0,Single,28591,16.0,North,Half Yearly,3288.0,374828
32,16.0,16.0,Third Party Partner,Small Business,Diploma,Female,4,Manager,5.0,Single,21696,2.0,West,Yearly,824.4,156645
33,8.0,5.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Unmarried,17058,2.0,West,Half Yearly,909.6666666666666,175994
34,13.0,8.0,Online,Small Business,Under Graduate,Female,4,Senior Manager,2.0,Single,23865,2.0,West,Yearly,1312.5,196886
35,5.0,10.0,Agent,Small Business,Diploma,Female,3,Manager,5.0,Divorced,20940,13.0,West,Half Yearly,1047.0,147627
36,18.0,6.0,Agent,Salaried,Graduate,Male,3,Manager,4.0,Single,20914,4.0,North,Half Yearly,732.0,123706
37,2.0,2.0,Agent,Small Business,Under Graduate,Female,4,Executive,4.0,Divorced,17622,2.0,West,Yearly,572.75,85334
38,7.0,20.0,Third Party Partner,Salaried,Post Graduate,Male,3,Senior Manager,2.0,Married,27185,13.0,West,Half Yearly,3262.0,623080
39,5.0,26.0,Agent,Salaried,Graduate,Male,3,Senior Manager,3.0,Married,25609,2.0,North,Half Yearly,1707.3333333333333,264626
40,16.0,14.0,Online,Small Business,Under Graduate,Male,5,Manager,3.0,Divorced,19345,1.0,West,Yearly,902.6666666666666,121873
41,2.0,2.0,Agent,Salaried,Graduate,Male,4,Executive,2.0,Divorced,17177,7.0,North,Yearly,1202.5,175994
42,11.0,23.0,Third Party Partner,Small Business,Diploma,Male,3,Executive,2.0,Married,17177,2.0,West,Half Yearly,1889.5,175994
